,final_result,score,sum_click,Engagement
7334,Withdrawn,65,537,0
7335,Distinction,92,1790,1
7336,Fail,82,1033,0
7337,Pass,72,933,0
7338,Pass,89,1253,0
7339,Withdrawn,79,2421,0
7340,Distinction,89,1240,0
7341,Pass,58,1115,0
7342,Pass,82,4582,1
7343,Fail,75,273,0
7344,Pass,91,2348,1
7345,Fail,78,832,0
7346,Pass,81,4830,1
7347,Distinction,91,2123,1
7348,Fail,72,190,0
7349,Pass,75,1655,0
7350,Withdrawn,65,317,0
7351,Pass,92,1273,1
7352,Pass,46,734,0
7353,Fail,61,1996,0
7354,Fail,43,460,0
7355,Withdrawn,38,721,0
7356,Pass,56,2664,1
7357,Fail,66,284,0
7358,Withdrawn,86,247,0
7359,Pass,75,2421,1
7360,Fail,74,899,0
7361,Withdrawn,73,564,0
7362,Pass,82,3259,1
7363,Pass,85,636,0
7364,Fail,49,4818,0
7365,Withdrawn,54,8275,0
7366,Pass,86,4024,1
7367,Pass,68,275,0
7368,Distinction,91,4651,1
7369,Fail,71,1958,0
7370,Pass,84,3663,1
7371,Pass,77,672,0
7372,Withdrawn,68,3069,0
7373,Withdrawn,33,375,0
7374,Distinction,95,3874,1
7375,Distinction,92,1971,1
7376,Distinction,92,14841,1
7377,Pass,80,6696,1
7378,Fail,69,1014,0
7379,Pass,86,2216,1
7380,Fail,85,3919,0
7381,Fail,76,550,0
7382,Pass,61,485,0
7383,Fail,67,311,0
7384,Pass,88,1793,1
7385,Distinction,82,1814,0
7386,Pass,69,911,0
7387,Fail,45,20,0
7388,Fail,83,116,0
7389,Withdrawn,26,500,0
7390,Withdrawn,67,401,0
7391,Pass,71,165,0
7392,Pass,82,4214,1
7393,Pass,92,4174,1
7394,Withdrawn,80,623,0
7395,Fail,68,723,0
7396,Withdrawn,87,135,0
7397,Pass,80,282,0
7398,Pass,73,3185,1
7399,Withdrawn,73,5885,0
7400,Withdrawn,84,4646,0
7401,Fail,48,436,0
7402,Fail,73,738,0
7403,Pass,89,4720,1
7404,Pass,44,348,0
7405,Pass,71,470,0
7406,Fail,50,1924,0
7407,Pass,89,5,0
7408,Pass,82,4527,1
7409,Distinction,86,896,0
7410,Fail,70,2313,0
7411,Withdrawn,68,1343,0
7412,Pass,88,6151,1
7413,Pass,77,13874,1
7414,Pass,68,795,0
7415,Pass,63,3770,1
7416,Distinction,90,2561,0
7417,Pass,87,2948,1
7418,Fail,54,836,0
7419,Pass,80,457,0
7420,Fail,55,1383,0
7421,Pass,65,2406,1
7422,Pass,64,2356,1
7423,Withdrawn,92,2920,1
7424,Distinction,79,1443,0
7425,Pass,80,462,0
7426,Pass,75,303,0
7427,Fail,67,219,0
7428,Fail,26,226,0
7429,Pass,81,1778,1
7430,Pass,94,2436,1
7431,Withdrawn,62,574,0
7432,Pass,78,2661,1
7433,Fail,75,2489,0
7434,Fail,72,3180,0
7435,Pass,93,406,1
7436,Pass,55,2350,1
7437,Pass,86,531,0
7438,Pass,84,1009,0
7439,Withdrawn,66,1497,0
7440,Pass,80,387,0
7441,Pass,90,1997,1
7442,Pass,84,8751,1
7443,Withdrawn,69,2779,0
7444,Pass,76,1196,0
7445,Pass,62,7400,1
7446,Pass,84,4811,1
7447,Pass,81,967,0
7448,Fail,51,4073,0
7449,Withdrawn,27,751,0
7450,Distinction,88,201,0
7451,Withdrawn,83,109,0
7452,Pass,77,5269,1
7453,Withdrawn,84,758,0
7454,Pass,68,3160,1
7455,Fail,61,1762,0
7456,Fail,78,511,0
7457,Pass,70,3944,1
7458,Withdrawn,74,259,0
7459,Withdrawn,55,152,0
7460,Withdrawn,28,133,0
7461,Pass,67,1777,1
7462,Withdrawn,56,1043,0
7463,Pass,76,858,0
7464,Fail,69,1884,0
7465,Pass,79,2463,1
7466,Withdrawn,65,2492,0
7467,Withdrawn,88,82,0
7468,Fail,83,154,0
7469,Pass,85,880,0
7470,Fail,75,1275,0
7471,Pass,50,1092,0
7472,Pass,74,320,0
7473,Withdrawn,63,857,0
7474,Pass,74,828,0
7475,Withdrawn,30,524,0
7476,Withdrawn,83,172,0
7477,Withdrawn,74,268,0
7478,Fail,56,807,0
7479,Fail,72,1561,0
7480,Pass,85,1713,1
7481,Pass,71,187,0
7482,Distinction,91,856,1
7483,Withdrawn,76,631,0
7484,Fail,41,654,0
7485,Withdrawn,51,336,0
7486,Pass,86,5034,1
7487,Pass,63,653,0
7488,Pass,74,4823,1
7489,Pass,59,3176,1
7490,Fail,65,2806,0
7491,Pass,82,4247,1
7492,Pass,90,888,0
7493,Pass,82,1495,0
7494,Withdrawn,65,3145,0
7495,Pass,52,786,0
7496,Distinction,86,3220,0
7497,Distinction,85,2555,0
7498,Pass,83,317,0
7499,Distinction,79,523,0
7500,Fail,88,394,0
7501,Distinction,99,2879,1
7502,Pass,73,2754,1
7503,Fail,62,123,0
7504,Pass,83,333,0
7505,Pass,87,774,0
7506,Pass,81,3035,1
7507,Pass,75,1109,0
7508,Fail,62,60,0
7509,Pass,86,1550,0
7510,Pass,53,2058,1
7511,Pass,84,1511,0
7512,Fail,82,164,0
7513,Pass,83,172,0
7514,Distinction,79,227,0
7515,Fail,61,499,0
7516,Withdrawn,37,48,0
7517,Withdrawn,70,578,0
7518,Pass,74,343,0
7519,Pass,77,4932,1
7520,Fail,74,336,0
7521,Fail,40,384,0
7522,Fail,80,208,0
7523,Pass,70,2560,1
7524,Withdrawn,73,70,0
7525,Fail,73,96,0
7526,Pass,68,2367,1
7527,Fail,64,3619,0
7528,Pass,82,1042,0
7529,Pass,68,1775,1
7530,Withdrawn,69,3286,0
7531,Withdrawn,62,3269,0
7532,Pass,83,673,0
7533,Pass,81,3390,1
7534,Fail,42,458,0
7535,Pass,72,1246,0
7536,Pass,65,1255,0
7537,Withdrawn,18,115,0
7538,Withdrawn,62,1220,0
7539,Pass,75,4278,1
7540,Pass,89,1508,0
7541,Withdrawn,39,634,0
7542,Fail,72,234,0
7543,Pass,85,2115,1
7544,Pass,65,3324,1
7545,Pass,84,385,0
7546,Pass,68,3059,1
7547,Pass,67,1330,0
7548,Fail,80,1670,0
7549,Fail,50,1392,0
7550,Distinction,79,2609,0
7551,Withdrawn,54,305,0
7552,Withdrawn,73,82,0
7553,Withdrawn,87,1032,0
7554,Pass,68,556,0
7555,Withdrawn,36,613,0
7556,Distinction,81,7183,0
7557,Pass,84,1217,0
7558,Pass,74,2882,1
7559,Fail,43,177,0
7560,Pass,85,188,0
7561,Withdrawn,68,3141,0
7562,Distinction,95,8637,1
7563,Pass,79,1348,0
7564,Withdrawn,65,1418,0
7565,Distinction,94,475,1
7566,Pass,80,1350,0
7567,Pass,81,5001,1
7568,Pass,84,4050,1
7569,Pass,77,6295,1
7570,Withdrawn,38,1820,0
7571,Fail,63,400,0
7572,Fail,75,287,0
7573,Fail,25,24,0
7574,Fail,82,666,0
7575,Fail,61,423,0
7576,Distinction,90,351,0
7577,Fail,83,3310,0
7578,Fail,59,226,0
7579,Fail,56,14696,0
7580,Pass,87,10020,1
7581,Withdrawn,83,172,0
7582,Fail,80,785,0
7583,Pass,62,4418,1
7584,Fail,76,4810,0
7585,Pass,86,1203,0
7586,Fail,68,826,0
7587,Withdrawn,82,1115,0
7588,Pass,87,1381,0
7589,Pass,70,534,0
7590,Pass,60,721,0
7591,Pass,85,2607,1
7592,Fail,57,191,0
7593,Fail,92,265,1
7594,Pass,88,3610,1
7595,Pass,75,544,0
7596,Pass,78,2729,1
7597,Withdrawn,65,195,0
7598,Distinction,86,3150,0
7599,Withdrawn,77,651,0
7600,Withdrawn,81,85,0
7601,Pass,81,3114,1
7602,Withdrawn,42,1119,0
7603,Withdrawn,66,52,0
7604,Withdrawn,23,53,0
7605,Pass,77,2295,1
7606,Withdrawn,80,1472,0
7607,Fail,65,1382,0
7608,Pass,58,1130,0
7609,Pass,86,3326,1
7610,Pass,74,1008,0
7611,Pass,86,1250,0
7612,Pass,72,245,0
7613,Fail,55,2748,0
7614,Fail,55,497,0
7615,Fail,54,1948,0
7616,Withdrawn,51,574,0
7617,Pass,73,574,0
7618,Withdrawn,60,376,0
7619,Fail,52,1011,0
7620,Pass,80,1926,1
7621,Pass,91,5947,1
7622,Pass,75,3415,1
7623,Fail,60,243,0
7624,Pass,78,5721,1
7625,Fail,48,1647,0
7626,Fail,65,198,0
7627,Withdrawn,46,256,0
7628,Pass,65,789,0
7629,Pass,72,7260,1
7630,Pass,74,628,0
7631,Pass,77,643,0
7632,Fail,33,426,0
7633,Pass,76,2817,1
7634,Pass,82,1116,0
7635,Withdrawn,76,2056,0
7636,Pass,86,4884,1
7637,Distinction,96,2616,1
7638,Pass,90,2552,1
7639,Fail,78,610,0
7640,Pass,52,329,0
7641,Pass,88,1805,1
7642,Pass,68,3390,1
7643,Pass,86,572,0
7644,Pass,69,558,0
7645,Fail,73,239,0
7646,Withdrawn,61,215,0
7647,Pass,90,1719,1
7648,Pass,76,6051,1
7649,Withdrawn,79,11174,0
7650,Withdrawn,72,15,0
7651,Fail,86,3562,0
7652,Withdrawn,75,1153,0
7653,Fail,74,103,0
7654,Withdrawn,75,3136,0
7655,Withdrawn,79,101,0
7656,Pass,63,4341,1
7657,Pass,79,1072,0
7658,Pass,81,6188,1
7659,Fail,48,171,0
7660,Fail,83,4612,0
7661,Pass,80,3054,1
7662,Pass,82,3002,1
7663,Pass,60,1254,0
7664,Pass,81,2328,1
7665,Pass,68,855,0
7666,Distinction,87,567,0
7667,Fail,71,406,0
7668,Fail,55,1151,0
7669,Withdrawn,68,255,0
7670,Distinction,87,7719,0
7671,Distinction,92,769,1
7672,Fail,58,574,0
7673,Distinction,87,5318,0
7674,Pass,86,4687,1
7675,Fail,76,711,0
7676,Pass,87,1362,0
7677,Pass,73,2270,1
7678,Pass,89,4639,1
7679,Withdrawn,87,3029,0
7680,Fail,79,1143,0
7681,Pass,67,6735,1
7682,Fail,73,2957,0
7683,Withdrawn,43,148,0
7684,Pass,80,2311,1
7685,Pass,88,4303,1
7686,Withdrawn,68,42,0
7687,Fail,43,919,0
7688,Distinction,91,1598,1
7689,Withdrawn,78,358,0
7690,Pass,67,3526,1
7691,Withdrawn,65,1608,0
7692,Pass,76,6851,1
7693,Pass,67,963,0
7694,Withdrawn,70,310,0
7695,Fail,68,408,0
7696,Fail,54,239,0
7697,Pass,87,4355,1
7698,Pass,81,417,0
7699,Fail,56,3768,0
7700,Pass,67,987,0
7701,Withdrawn,65,1440,0
7702,Fail,78,2120,0
7703,Distinction,86,7678,0
7704,Pass,52,1434,0
7705,Withdrawn,52,1133,0
7706,Pass,78,305,0
7707,Withdrawn,64,460,0
7708,Pass,66,786,0
7709,Fail,49,82,0
7710,Pass,80,1254,0
7711,Withdrawn,73,1925,0
7712,Withdrawn,46,306,0
7713,Fail,82,439,0
7714,Fail,47,277,0
7715,Pass,75,231,0
7716,Withdrawn,86,3423,0
7717,Withdrawn,55,925,0
7718,Distinction,94,11539,1
7719,Fail,47,1906,0
7720,Pass,92,875,1
7721,Pass,78,9212,1
7722,Fail,69,674,0
7723,Fail,75,857,0
7724,Pass,71,1411,0
7725,Pass,73,316,0
7726,Pass,69,3496,1
7727,Fail,76,245,0
7728,Fail,69,1420,0
7729,Withdrawn,47,322,0
7730,Withdrawn,16,263,0
7731,Fail,49,193,0
7732,Pass,86,2523,1
7733,Fail,76,71,0
7734,Fail,62,401,0
7735,Fail,77,829,0
7736,Pass,87,1892,1
7737,Fail,77,212,0
7738,Fail,10,232,0
7739,Fail,59,2993,0
7740,Fail,66,2106,0
7741,Pass,68,593,0
7742,Pass,87,2417,1
7743,Fail,40,820,0
7744,Fail,43,919,0
7745,Withdrawn,66,5342,0
7746,Pass,70,231,0
7747,Pass,71,3060,1
7748,Fail,80,391,0
7749,Pass,81,1604,0
7750,Pass,85,1577,0
7751,Pass,82,226,0
7752,Pass,68,985,0
7753,Withdrawn,71,4524,0
7754,Distinction,92,5276,1
7755,Fail,51,2046,0
7756,Pass,74,306,0
7757,Fail,78,1524,0
7758,Fail,75,32,0
7759,Pass,75,168,0
7760,Fail,87,124,0
7761,Withdrawn,70,212,0
7762,Fail,73,1639,0
7763,Pass,82,3864,1
7764,Fail,76,186,0
7765,Fail,45,1154,0
7766,Pass,84,538,0
7767,Pass,76,302,0
7768,Pass,82,5375,1
7769,Withdrawn,67,777,0
7770,Withdrawn,71,3259,0
7771,Fail,62,271,0
7772,Pass,79,3643,1
7773,Pass,89,580,0
7774,Distinction,87,1551,0
7775,Withdrawn,52,737,0
7776,Pass,58,1131,0
7777,Pass,66,219,0
7778,Pass,62,3997,1
7779,Fail,66,2061,0
7780,Withdrawn,86,2402,0
7781,Pass,77,3184,1
7782,Pass,83,2619,1
7783,Pass,72,2359,1
7784,Fail,76,1607,0
7785,Fail,65,423,0
7786,Fail,78,782,0
7787,Pass,50,1260,0
7788,Pass,81,414,0
7789,Withdrawn,0,20,0
7790,Fail,61,444,0
7791,Pass,71,2653,1
7792,Fail,70,1790,0
7793,Withdrawn,58,278,0
7794,Withdrawn,22,722,0
7795,Withdrawn,64,671,0
7796,Pass,70,4494,1
7797,Pass,74,783,0
7798,Fail,84,439,0
7799,Fail,46,693,0
7800,Fail,52,1082,0
7801,Fail,68,170,0
7802,Fail,62,409,0
7803,Fail,59,255,0
7804,Fail,86,121,0
7805,Distinction,91,495,1
7806,Pass,79,703,0
7807,Pass,76,2425,1
7808,Pass,85,6126,1
7809,Pass,74,2195,1
7810,Fail,92,820,1
7811,Pass,87,621,0
7812,Withdrawn,66,308,0
7813,Withdrawn,25,228,0
7814,Fail,43,148,0
7815,Pass,71,289,0
7816,Withdrawn,0,381,0
7817,Pass,75,784,0
7818,Pass,94,524,1
7819,Pass,80,556,0
7820,Fail,81,839,0
7821,Pass,68,4506,1
7822,Pass,80,2444,1
7823,Withdrawn,92,411,1
7824,Pass,62,284,0
7825,Withdrawn,83,1130,0
7826,Distinction,87,494,0
7827,Withdrawn,45,123,0
7828,Withdrawn,38,464,0
7829,Fail,63,12,0
7830,Pass,65,567,0
7831,Fail,47,1910,0
7832,Withdrawn,65,322,0
7833,Pass,69,4695,1
7834,Withdrawn,78,204,0
7835,Withdrawn,3,731,0
7836,Withdrawn,46,608,0
7837,Pass,90,3750,1
7838,Fail,86,769,0
7839,Fail,63,2438,0
7840,Pass,84,3185,1
7841,Fail,62,169,0
7842,Withdrawn,91,1716,1
7843,Pass,82,357,0
7844,Distinction,81,7366,0
7845,Pass,83,2622,1
7846,Fail,81,809,0
7847,Fail,73,1406,0
7848,Withdrawn,65,6278,0
7849,Withdrawn,76,2334,0
7850,Pass,81,6946,1
7851,Pass,65,1823,1
7852,Pass,70,1529,0
7853,Pass,90,649,0
7854,Pass,66,2951,1
7855,Pass,75,1424,0
7856,Withdrawn,44,289,0
7857,Fail,53,602,0
7858,Pass,79,3403,1
7859,Pass,84,2376,1
7860,Withdrawn,41,1590,0
7861,Pass,87,4102,1
7862,Pass,93,1414,1
7863,Pass,86,1669,0
7864,Pass,81,696,0
7865,Distinction,91,1653,1
7866,Fail,57,490,0
7867,Fail,55,1165,0
7868,Fail,60,428,0
7869,Withdrawn,20,71,0
7870,Pass,52,142,0
7871,Pass,76,1660,0
7872,Withdrawn,63,1393,0
7873,Pass,84,915,0
7874,Fail,69,310,0
7875,Pass,81,1047,0
7876,Pass,85,4293,1
7877,Fail,77,534,0
7878,Fail,71,713,0
7879,Pass,90,2749,1
7880,Pass,88,519,0
7881,Pass,87,4352,1
7882,Pass,89,2409,1
7883,Withdrawn,78,3570,0
7884,Withdrawn,82,790,0
7885,Withdrawn,80,1094,0
7886,Pass,88,1853,1
7887,Fail,86,218,0
7888,Pass,74,2511,1
7889,Pass,79,5532,1
7890,Fail,71,464,0
7891,Withdrawn,79,4236,0
7892,Fail,74,2652,0
7893,Pass,79,3602,1
7894,Pass,85,223,0
7895,Fail,74,371,0
7896,Distinction,89,1050,0
7897,Pass,83,561,0
7898,Pass,78,4150,1
7899,Distinction,87,1406,0
7900,Distinction,98,3092,1
7901,Fail,63,756,0
7902,Withdrawn,99,2159,1
7903,Fail,54,54,0
7904,Pass,73,1765,1
7905,Pass,89,1895,1
7906,Fail,55,39,0
7907,Withdrawn,57,189,0
7908,Pass,68,97,0
7909,Fail,63,3390,0
7910,Pass,89,2430,1
7911,Distinction,87,1692,0
7912,Pass,75,982,0
7913,Pass,60,1483,0
7914,Fail,63,124,0
7915,Fail,67,4121,0
7916,Pass,80,2310,1
7917,Pass,82,569,0
7918,Pass,70,1424,0
7919,Distinction,90,1740,0
7920,Pass,69,597,0
7921,Fail,55,343,0
7922,Distinction,87,406,0
7923,Withdrawn,71,1935,0
7924,Fail,64,448,0
7925,Fail,76,268,0
7926,Fail,68,1219,0
7927,Withdrawn,59,395,0
7928,Distinction,95,6846,1
7929,Fail,81,471,0
7930,Pass,69,776,0
7931,Fail,68,310,0
7932,Withdrawn,46,1616,0
7933,Fail,55,2481,0
7934,Distinction,83,5479,0
7935,Withdrawn,66,228,0
7936,Pass,94,1294,1
7937,Pass,92,1188,1
7938,Pass,91,229,1
7939,Withdrawn,81,545,0
7940,Pass,66,1489,0
7941,Withdrawn,55,1120,0
7942,Distinction,87,1753,0
7943,Pass,80,2382,1
7944,Withdrawn,46,2121,0
7945,Withdrawn,55,492,0
7946,Pass,77,1297,0
7947,Distinction,92,957,1
7948,Pass,64,357,0
7949,Withdrawn,36,299,0
7950,Withdrawn,56,1741,0
7951,Pass,80,571,0
7952,Pass,85,603,0
7953,Pass,85,7353,1
7954,Fail,90,1747,0
7955,Withdrawn,51,1102,0
7956,Pass,62,2244,1
7957,Fail,71,2130,0
7958,Pass,82,1875,1
7959,Pass,74,5878,1
7960,Distinction,92,2975,1
7961,Distinction,88,3322,0
7962,Pass,75,5844,1
7963,Pass,75,804,0
7964,Pass,86,468,0
7965,Withdrawn,57,433,0
7966,Withdrawn,57,2065,0
7967,Fail,81,519,0
7968,Fail,82,883,0
7969,Pass,73,636,0
7970,Pass,79,5501,1
7971,Pass,88,501,0
7972,Distinction,91,1875,1
7973,Fail,49,1159,0
7974,Pass,67,1201,0
7975,Fail,57,674,0
7976,Pass,72,905,0
7977,Pass,79,2311,1
7978,Fail,60,55,0
7979,Pass,72,1507,0
7980,Fail,67,196,0
7981,Distinction,90,3999,0
7982,Pass,73,839,0
7983,Fail,48,53,0
7984,Pass,90,4155,1
7985,Fail,74,81,0
7986,Withdrawn,66,115,0
7987,Distinction,98,3645,1
7988,Pass,66,272,0
7989,Fail,60,55,0
7990,Withdrawn,96,2801,1
7991,Pass,79,6133,1
7992,Pass,89,714,0
7993,Fail,72,279,0
7994,Pass,84,7322,1
7995,Fail,69,1776,0
7996,Withdrawn,85,189,0
7997,Withdrawn,55,545,0
7998,Distinction,83,429,0
7999,Pass,71,4209,1
8000,Distinction,99,2074,1
8001,Pass,78,5207,1
8002,Pass,67,1091,0
8003,Withdrawn,60,2042,0
8004,Withdrawn,90,3001,0
8005,Withdrawn,80,667,0
8006,Withdrawn,79,813,0
8007,Pass,78,942,0
8008,Distinction,82,736,0
8009,Withdrawn,81,299,0
8010,Withdrawn,42,188,0
8011,Pass,77,4111,1
8012,Pass,79,4048,1
8013,Withdrawn,80,126,0
8014,Pass,86,1006,0
8015,Pass,71,5941,1
8016,Fail,38,180,0
8017,Pass,79,481,0
8018,Pass,74,8269,1
8019,Fail,74,4017,0
8020,Pass,72,448,0
8021,Pass,91,1120,1
8022,Withdrawn,41,566,0
8023,Pass,90,1697,1
8024,Pass,79,378,0
8025,Pass,86,476,0
8026,Pass,85,971,0
8027,Fail,65,205,0
8028,Pass,76,888,0
8029,Pass,91,3882,1
8030,Pass,63,2191,1
8031,Fail,62,545,0
8032,Fail,64,323,0
8033,Withdrawn,67,62,0
8034,Pass,66,493,0
8035,Distinction,95,483,1
8036,Pass,79,386,0
8037,Pass,77,418,0
8038,Withdrawn,67,101,0
8039,Fail,73,263,0
8040,Withdrawn,59,1724,0
8041,Pass,84,1363,0
8042,Fail,78,461,0
8043,Withdrawn,88,523,0
8044,Pass,79,124,0
8045,Fail,71,778,0
8046,Withdrawn,74,623,0
8047,Fail,73,99,0
8048,Withdrawn,51,437,0
8049,Withdrawn,44,343,0
8050,Pass,90,1450,0
8051,Pass,85,2383,1
8052,Withdrawn,25,58,0
8053,Fail,70,966,0
8054,Pass,85,982,0
8055,Pass,75,2283,1
8056,Pass,72,598,0
8057,Fail,67,523,0
8058,Pass,92,9374,1
8059,Fail,43,335,0
8060,Fail,45,255,0
8061,Pass,67,1833,1
8062,Withdrawn,73,976,0
8063,Pass,74,816,0
8064,Pass,84,322,0
8065,Pass,70,801,0
8066,Fail,64,223,0
8067,Pass,74,235,0
8068,Withdrawn,76,208,0
8069,Pass,91,123,1
8070,Distinction,91,676,1
8071,Fail,38,119,0
8072,Withdrawn,89,1011,0
8073,Pass,74,4043,1
8074,Fail,79,274,0
8075,Pass,89,4530,1
8076,Pass,77,556,0
8077,Pass,75,811,0
8078,Fail,69,741,0
8079,Withdrawn,100,54,1
8080,Distinction,90,3023,0
8081,Withdrawn,53,119,0
8082,Distinction,89,3040,0
8083,Withdrawn,41,159,0
8084,Pass,86,6163,1
8085,Fail,71,154,0
8086,Withdrawn,63,944,0
8087,Pass,65,2659,1
8088,Fail,71,3630,0
8089,Distinction,86,442,0
8090,Pass,86,4644,1
8091,Withdrawn,50,388,0
8092,Fail,86,528,0
8093,Distinction,93,5907,1
8094,Withdrawn,90,1368,0
8095,Fail,74,1076,0
8096,Pass,72,889,0
8097,Withdrawn,66,1012,0
8098,Withdrawn,75,179,0
8099,Withdrawn,88,1266,0
8100,Pass,91,5404,1
8101,Withdrawn,77,3071,0
8102,Pass,78,3072,1
8103,Pass,69,1601,0
8104,Pass,70,580,0
8105,Pass,74,272,0
8106,Withdrawn,57,127,0
8107,Fail,83,2433,0
8108,Withdrawn,97,3166,1
8109,Withdrawn,85,5010,0
8110,Withdrawn,75,1071,0
8111,Pass,83,2034,1
8112,Pass,71,547,0
8113,Withdrawn,56,527,0
8114,Pass,53,2202,1
8115,Pass,88,2084,1
8116,Pass,74,909,0
8117,Pass,66,732,0
8118,Pass,44,1231,0
8119,Pass,75,4288,1
8120,Pass,76,1541,0
8121,Withdrawn,0,75,0
8122,Pass,77,1309,0
8123,Pass,88,241,0
8124,Withdrawn,87,290,0
8125,Fail,64,2633,0
8126,Pass,90,2074,1
8127,Withdrawn,60,1483,0
8128,Distinction,66,1483,0
8129,Distinction,93,7058,1
8130,Pass,83,4118,1
8131,Withdrawn,70,2549,0
8132,Pass,45,1841,1
8133,Pass,58,1525,0
8134,Pass,77,5034,1
8135,Pass,81,337,0
8136,Pass,71,1341,0
8137,Withdrawn,62,420,0
8138,Distinction,87,976,0
8139,Withdrawn,85,696,0
8140,Withdrawn,76,242,0
8141,Fail,51,541,0
8142,Pass,81,2660,1
8143,Fail,69,235,0
8144,Distinction,71,787,0
8145,Withdrawn,74,1515,0
8146,Fail,77,7195,0
8147,Withdrawn,90,1881,0
8148,Fail,62,426,0
8149,Pass,87,516,0
8150,Distinction,91,2862,1
8151,Fail,67,121,0
8152,Fail,74,309,0
8153,Withdrawn,61,3199,0
8154,Pass,77,1948,1
8155,Pass,88,1307,0
8156,Pass,69,3682,1
8157,Distinction,87,1067,0
8158,Withdrawn,63,25,0
8159,Fail,97,1237,1
8160,Pass,85,1415,0
8161,Pass,80,5618,1
8162,Pass,70,961,0
8163,Fail,58,1992,0
8164,Fail,38,198,0
8165,Pass,75,2271,1
8166,Fail,63,1456,0
8167,Withdrawn,78,1342,0
8168,Pass,78,4122,1
8169,Withdrawn,57,1190,0
8170,Fail,68,77,0
8171,Withdrawn,41,142,0
8172,Pass,94,1203,1
8173,Pass,71,227,0
8174,Withdrawn,72,418,0
8175,Pass,65,149,0
8176,Pass,81,2611,1
8177,Withdrawn,51,415,0
8178,Pass,82,3947,1
8179,Fail,65,353,0
8180,Pass,69,1280,0
8181,Pass,80,2357,1
8182,Fail,32,330,0
8183,Distinction,87,778,0
8184,Pass,78,1399,0
8185,Fail,47,275,0
8186,Withdrawn,86,379,0
8187,Fail,37,283,0
8188,Withdrawn,62,887,0
8189,Pass,75,1746,1
8190,Pass,72,910,0
8191,Fail,61,983,0
8192,Fail,62,3343,0
8193,Pass,84,1548,0
8194,Pass,85,198,0
8195,Distinction,90,3884,0
8196,Fail,87,215,0
8197,Fail,92,3635,1
8198,Fail,49,1866,0
8199,Distinction,80,5348,0
8200,Fail,65,537,0
8201,Distinction,89,5344,0
8202,Fail,82,295,0
8203,Pass,64,809,0
8204,Pass,93,567,1
8205,Withdrawn,77,7872,0
8206,Pass,85,290,0
8207,Fail,64,4604,0
8208,Withdrawn,79,118,0
8209,Pass,82,1237,0
8210,Pass,79,434,0
8211,Pass,78,2683,1
8212,Pass,86,1110,0
8213,Fail,76,216,0
8214,Fail,65,849,0
8215,Pass,76,3192,1
8216,Fail,83,157,0
8217,Fail,83,428,0
8218,Distinction,91,1438,1
8219,Distinction,91,6205,1
8220,Pass,93,664,1
8221,Pass,87,794,0
8222,Fail,67,461,0
8223,Pass,84,1175,0
8224,Pass,77,4783,1
8225,Distinction,79,543,0
8226,Pass,90,1601,0
8227,Distinction,80,7193,0
8228,Withdrawn,81,344,0
8229,Fail,62,4599,0
8230,Fail,52,9265,0
8231,Pass,82,3947,1
8232,Pass,84,1877,1
8233,Withdrawn,59,1154,0
8234,Pass,83,1671,0
8235,Pass,57,796,0
8236,Pass,83,5398,1
8237,Pass,93,1534,1
8238,Fail,73,1240,0
8239,Withdrawn,67,450,0
8240,Distinction,93,495,1
8241,Withdrawn,72,830,0
8242,Fail,58,297,0
8243,Distinction,92,8660,1
8244,Fail,67,1223,0
8245,Pass,84,4391,1
8246,Pass,80,279,0
8247,Pass,70,2560,1
8248,Pass,88,3387,1
8249,Pass,73,1630,0
8250,Withdrawn,51,762,0
8251,Fail,69,376,0
8252,Pass,86,674,0
8253,Fail,40,116,0
8254,Fail,37,546,0
8255,Pass,66,665,0
8256,Pass,83,8008,1
8257,Fail,89,859,0
8258,Fail,70,676,0
8259,Withdrawn,82,305,0
8260,Withdrawn,77,740,0
8261,Pass,71,5864,1
8262,Fail,43,397,0
8263,Pass,78,1349,0
8264,Pass,75,2571,1
8265,Pass,60,1709,1
8266,Pass,81,137,0
8267,Withdrawn,62,1983,0
8268,Withdrawn,78,2123,0
8269,Fail,69,2394,0
8270,Pass,54,1131,0
8271,Withdrawn,88,1670,0
8272,Pass,73,872,0
8273,Pass,67,120,0
8274,Distinction,88,3640,0
8275,Pass,80,1150,0
8276,Pass,81,791,0
8277,Fail,80,243,0
8278,Pass,81,8226,1
8279,Withdrawn,1,209,0
8280,Pass,69,1770,1
8281,Pass,76,4328,1
8282,Distinction,96,1094,1
8283,Pass,85,2765,1
8284,Pass,43,1489,0
8285,Pass,64,6,0
8286,Pass,77,38,0
8287,Pass,70,1052,0
8288,Fail,73,552,0
8289,Fail,76,306,0
8290,Fail,59,1236,0
8291,Pass,58,2626,1
8292,Pass,88,2979,1
8293,Fail,71,1090,0
8294,Pass,58,2803,1
8295,Pass,88,563,0
8296,Fail,55,3933,0
8297,Pass,76,3597,1
8298,Pass,86,712,0
8299,Pass,91,11332,1
8300,Pass,70,1746,1
8301,Fail,53,181,0
8302,Withdrawn,52,433,0
8303,Fail,83,74,0
8304,Fail,66,357,0
8305,Pass,81,1418,0
8306,Pass,72,526,0
8307,Pass,75,732,0
8308,Fail,64,1738,0
8309,Withdrawn,79,1088,0
8310,Withdrawn,62,2574,0
8311,Pass,88,3014,1
8312,Pass,74,1960,1
8313,Fail,71,165,0
8314,Pass,65,1920,1
8315,Distinction,89,1175,0
